,index,sentence,numerals-tags,company,docEndDate,docType,fileName,year,ner_tags,tokens
0,59076,"In the fiscal year ended September 30, 2020, the Company recorded a $6.6 billion legal accrual in connection with a proposed global opioid settlement, as well as other opioid-related litigation.",{'us-gaap:LossContingencyAccrualProvision': ['6.6']},AMERISOURCEBERGEN CORP,"September 30, 2021",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/ABC/10-K/0001140859-21-000058/filing-details.html,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['In', 'the', 'fiscal', 'year', 'ended', 'September', '30', ',', '2020', ',', 'the', 'Company', 'recorded', 'a', '$', '6.6', 'billion', 'legal', 'accrual', 'in', 'connection', 'with', 'a', 'proposed', 'global', 'opioid', 'settlement', ',', 'as', 'well', 'as', 'other', 'opioid', '-', 'related', 'litigation', '.']"
1,90538,"The related income tax benefit recognized was $6 million, $8million and $8million for the years ended December31, 2020, 2019 and 2018.",{'us-gaap:EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense': ['6']},CNA FINANCIAL CORPORATION,"December 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/CNA/10-K/0000021175-21-000022/filing-details.html,21,"[0, 0, 0, 0, 0, 0, 0, 0, 2614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The', 'related', 'income', 'tax', 'benefit', 'recognized', 'was', '$', '6', 'million', ',', '$', '8million', 'and', '$', '8million', 'for', 'the', 'years', 'ended', 'December31', ',', '2020', ',', '2019', 'and', '2018', '.']"
2,62492,"Depreciation expense was $87.9 million in 2020, $86.6 million in 2019 and $83.3 million in 2018.","{'us-gaap:Depreciation': ['87.9', '86.6', '83.3']}","Avantor, Inc.","December 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/AVTR/10-K/0001722482-21-000040/filing-details.html,21,"[0, 0, 0, 0, 2572, 0, 0, 0, 0, 0, 2572, 0, 0, 0, 0, 0, 2572, 0, 0, 0, 0]","['Depreciation', 'expense', 'was', '$', '87.9', 'million', 'in', '2020', ',', '$', '86.6', 'million', 'in', '2019', 'and', '$', '83.3', 'million', 'in', '2018', '.']"
3,59899,"Midship Holdings entered into agreements with investment funds managed by EIG Global Energy Partners (“EIG”) under which EIG-managed funds committed to make an investment of up to $500 million (the “EIG Investment”) in the Midship Project, subject to the terms and conditions contained in the applicable agreements.",{'us-gaap:InvestmentCompanyFinancialCommitmentToInvesteeFutureAmount': ['500']},"CHENIERE ENERGY, INC.","December 31, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/LNG/10-K/0000003570-20-000043/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Midship', 'Holdings', 'entered', 'into', 'agreements', 'with', 'investment', 'funds', 'managed', 'by', 'EIG', 'Global', 'Energy', 'Partners', '(', '“', 'EIG', '”', ')', 'under', 'which', 'EIG', '-', 'managed', 'funds', 'committed', 'to', 'make', 'an', 'investment', 'of', 'up', 'to', '$', '500', 'million', '(', 'the', '“', 'EIG', 'Investment', '”', ')', 'in', 'the', 'Midship', 'Project', ',', 'subject', 'to', 'the', 'terms', 'and', 'conditions', 'contained', 'in', 'the', 'applicable', 'agreements', '.']"
4,7181,Operating income (loss) and income (loss) before income taxes were reduced by $737 million for Bottling Investments and $34 million for Corporate due to asset impairment charges.,{'us-gaap:ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill': ['34']},COCA COLA CO,"December 31, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/KO/10-K/0000021344-20-000006/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Operating', 'income', '(', 'loss', ')', 'and', 'income', '(', 'loss', ')', 'before', 'income', 'taxes', 'were', 'reduced', 'by', '$', '737', 'million', 'for', 'Bottling', 'Investments', 'and', '$', '34', 'million', 'for', 'Corporate', 'due', 'to', 'asset', 'impairment', 'charges', '.']"
5,57695,"Under this agreement, the Company made a prepayment of $250 million to a financial institution and settlement occurred in September 2019.",{'us-gaap:AcceleratedShareRepurchasesSettlementPaymentOrReceipt': ['250']},CSX CORPORATION,"December 31, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/CSX/10-K/0000277948-20-000008/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Under', 'this', 'agreement', ',', 'the', 'Company', 'made', 'a', 'prepayment', 'of', '$', '250', 'million', 'to', 'a', 'financial', 'institution', 'and', 'settlement', 'occurred', 'in', 'September', '2019', '.']"
6,78060,"In July 2018, our board of directors authorized an additional $500.0 million of share repurchases through July 2019.",{'us-gaap:StockRepurchaseProgramAuthorizedAmount1': ['500.0']},Liberty Global plc,2018-12-31,10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/LBTYA/10-K/0001570585-19-000039/filing-details.html,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2586, 0, 0, 0, 0, 0, 0, 0, 0]","['In', 'July', '2018', ',', 'our', 'board', 'of', 'directors', 'authorized', 'an', 'additional', '$', '500.0', 'million', 'of', 'share', 'repurchases', 'through', 'July', '2019', '.']"
7,79431,Quanta borrowed $600.0 million under the term loan facility in October 2018 and $687.5 million under the term loan facility in September 2019 and used the majority of such proceeds to repay outstanding revolving loans under the credit agreement.,"{'us-gaap:ProceedsFromLongTermLinesOfCredit': ['600.0', '687.5']}","Quanta Services, Inc.","December 31, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/PWR/10-K/0001050915-20-000020/filing-details.html,20,"[0, 0, 0, 884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Quanta', 'borrowed', '$', '600.0', 'million', 'under', 'the', 'term', 'loan', 'facility', 'in', 'October', '2018', 'and', '$', '687.5', 'million', 'under', 'the', 'term', 'loan', 'facility', 'in', 'September', '2019', 'and', 'used', 'the', 'majority', 'of', 'such', 'proceeds', 'to', 'repay', 'outstanding', 'revolving', 'loans', 'under', 'the', 'credit', 'agreement', '.']"
8,48164,secured financing comprised of (i) a $1.5 billion revolving credit facility; (ii) a $1.5 billion term loan; (iii) a $1.37 billion term loan; (iv) a $1.14 billion term loan; and (v) a $500.0 million term loan.,"{'us-gaap:DebtInstrumentFaceAmount': ['1.5', '1.5', '1.37', '1.14', '500.0']}",GLOBAL PAYMENTS INC,"December 31, 2020",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/GPN/10-K/0001123360-21-000009/filing-details.html,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2609, 0, 0, 0, 0]","['secured', 'financing', 'comprised', 'of', '(', 'i', ')', 'a', '$', '1.5', 'billion', 'revolving', 'credit', 'facility', ';', '(', 'ii', ')', 'a', '$', '1.5', 'billion', 'term', 'loan', ';', '(', 'iii', ')', 'a', '$', '1.37', 'billion', 'term', 'loan', ';', '(', 'iv', ')', 'a', '$', '1.14', 'billion', 'term', 'loan', ';', 'and', '(', 'v', ')', 'a', '$', '500.0', 'million', 'term', 'loan', '.']"
9,56184,"Net Investment Hedges—At December 31, 2019 and 2018, we had outstanding foreign currency contracts with an aggregate notional value of €617 million ($650 million) designated as net investment hedges.","{'us-gaap:DerivativeNotionalAmount': ['617', '650']}",LyondellBasell Industries N.V.,"December 31, 2019",10-K,/home/soumyasharma/HULK/financial/FinNumRED/data/sec_edgar_files/sec-edgar-filings/LYB/10-K/0001489393-20-000009/filing-details.html,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2606, 0, 0, 0, 2606, 0, 0, 0, 0, 0, 0, 0, 0]","['Net', 'Investment', 'Hedges', '—', 'At', 'December', '31', ',', '2019', 'and', '2018', ',', 'we', 'had', 'outstanding', 'foreign', 'currency', 'contracts', 'with', 'an', 'aggregate', 'notional', 'value', 'of', '€', '617', 'million', '(', '$', '650', 'million', ')', 'designated', 'as', 'net', 'investment', 'hedges', '.']"
